customer_id,segment_name,recency_days,frequency_180d,monetary_180d,R,F,M,rfm_score,return_rate_180d,avg_discount_pct_180d,ticket_count_90d,negative_ticket_rate_90d,sessions_30d,last_visit_days_ago,engagement_score,last_campaign_received,manual_priority_bucket,churn_next_60d
CUST00054,New_Customers,6,1,489.85,5,1,2,8,0.0,0.25,0,0.0,3,0,3,welcome_offer,low,0
CUST00055,Champions,3,3,1308.35,5,5,4,14,0.0,0.247,0,0.0,6,0,15,new_launch,low,0
CUST00056,Mid_Tier_At_Risk,9,3,3150.69,5,5,5,15,0.0,0.287,1,0.0,3,0,3,new_launch,medium,0
CUST00057,Mid_Tier_At_Risk,136,1,1713.34,2,1,4,7,0.0,0.14,0,0.0,7,29,17,none,high,1
CUST00058,Mid_Tier_At_Risk,42,1,644.61,4,1,2,7,0.0,0.21,0,0.0,2,6,14,new_launch,medium,0
CUST00059,Mid_Tier_At_Risk,2,2,1447.55,5,3,4,12,0.0,0.32,0,0.0,3,2,3,new_launch,low,0
CUST00060,Mid_Tier_At_Risk,145,1,293.22,2,1,1,4,0.0,0.36,0,0.0,5,20,5,none,high,1
CUST00061,High_Value_Unhappy,14,3,1632.4,5,5,4,14,0.0,0.407,1,1.0,4,15,7,welcome_offer,medium,0
CUST00062,Champions,21,3,2295.98,4,5,5,14,0.0,0.247,0,0.0,9,0,17,welcome_offer,low,0
CUST00063,Mid_Tier_At_Risk,216,0,0.0,1,1,1,3,0.0,0.0,0,0.0,0,24,3,bundle_discount,high,1
CUST00064,New_Customers,2,1,654.93,5,1,2,8,0.0,0.43,0,0.0,8,0,8,free_shipping,low,0
CUST00065,Mid_Tier_At_Risk,6,1,1911.67,5,1,5,11,0.0,0.0,0,0.0,3,0,9,bundle_discount,low,0
CUST00066,Mid_Tier_At_Risk,320,0,0.0,1,1,1,3,0.0,0.0,0,0.0,11,60,17,bundle_discount,high,1
CUST00067,Loyal_Slipping,63,2,1246.44,3,3,4,10,0.5,0.2,1,0.0,1,5,7,welcome_offer,medium,1
CUST00068,Mid_Tier_At_Risk,346,0,0.0,1,1,1,3,0.0,0.0,0,0.0,5,60,9,bundle_discount,high,1
CUST00069,Mid_Tier_At_Risk,29,2,874.47,4,3,3,10,0.0,0.225,0,0.0,9,0,17,bundle_discount,low,1
CUST00070,New_Customers,38,1,542.98,4,1,2,7,0.0,0.34,0,0.0,1,18,2,none,high,1
CUST00071,High_Value_Unhappy,32,1,2062.5,4,1,5,10,0.0,0.08,1,1.0,1,12,9,free_shipping,high,1
CUST00072,Mid_Tier_At_Risk,90,2,1697.84,2,3,4,9,0.0,0.21,0,0.0,7,26,13,none,high,1
CUST00073,Mid_Tier_At_Risk,8,2,1150.72,5,3,3,11,0.0,0.235,0,0.0,7,0,12,none,low,0
CUST00074,Mid_Tier_At_Risk,7,1,824.34,5,1,3,9,1.0,0.23,1,1.0,14,22,17,new_launch,medium,0
CUST00075,Champions,3,3,1287.45,5,5,4,14,0.0,0.297,0,0.0,10,13,10,none,low,0
CUST00076,Mid_Tier_At_Risk,20,2,1385.27,5,3,4,12,0.0,0.22,0,0.0,17,8,17,bundle_discount,low,0
CUST00077,Mid_Tier_At_Risk,109,1,394.32,2,1,2,5,0.0,0.36,0,0.0,0,20,0,welcome_offer,high,1
CUST00078,Mid_Tier_At_Risk,139,1,894.45,2,1,3,6,1.0,0.42,0,0.0,5,38,5,welcome_offer,high,1
CUST00079,Dormant,191,0,0.0,1,1,1,3,0.0,0.0,0,0.0,2,31,2,none,high,1
CUST00080,Mid_Tier_At_Risk,50,1,1461.68,3,1,4,8,0.0,0.11,0,0.0,11,3,11,none,medium,0
CUST00081,Champions,19,5,3417.32,5,5,5,15,0.0,0.202,0,0.0,12,0,12,bundle_discount,low,0
CUST00082,Mid_Tier_At_Risk,254,0,0.0,1,1,1,3,0.0,0.0,0,0.0,7,44,17,none,high,1
CUST00083,Mid_Tier_At_Risk,89,2,806.87,2,3,3,8,0.5,0.335,1,1.0,9,17,9,bundle_discount,high,1
CUST00084,Mid_Tier_At_Risk,167,1,1273.18,1,1,4,6,0.0,0.12,0,0.0,11,34,15,bundle_discount,high,1
CUST00085,New_Customers,14,1,1257.8,5,1,4,10,0.0,0.2,0,0.0,8,0,8,none,low,1
CUST00086,High_Value_Unhappy,21,4,1741.15,4,5,4,13,0.0,0.268,1,1.0,7,0,14,welcome_offer,medium,0
CUST00087,New_Customers,44,1,933.58,4,1,3,8,0.0,0.38,0,0.0,1,15,1,new_launch,high,0
CUST00088,Mid_Tier_At_Risk,98,2,1169.14,2,3,3,8,0.0,0.43,0,0.0,9,18,10,new_launch,high,1
CUST00089,Mid_Tier_At_Risk,165,1,1513.5,1,1,4,6,0.0,0.4,0,0.0,12,31,21,none,high,1
CUST00090,Champions,80,4,1966.31,3,5,5,13,0.0,0.375,0,0.0,5,36,5,new_launch,high,0
CUST00091,Mid_Tier_At_Risk,90,1,311.34,2,1,1,4,0.0,0.36,0,0.0,9,11,9,free_shipping,high,0
CUST00092,New_Customers,21,1,430.85,4,1,2,7,0.0,0.26,0,0.0,1,3,1,new_launch,high,0
CUST00093,Mid_Tier_At_Risk,85,1,759.64,3,1,3,7,0.0,0.12,0,0.0,16,21,29,none,high,1
CUST00094,Mid_Tier_At_Risk,183,0,0.0,1,1,1,3,0.0,0.0,0,0.0,6,60,11,new_launch,high,1
CUST00095,New_Customers,65,1,372.65,3,1,1,5,0.0,0.41,1,1.0,10,7,13,welcome_offer,medium,1
CUST00096,Loyal_Slipping,61,2,1414.75,3,3,4,10,0.5,0.325,0,0.0,12,15,12,new_launch,medium,0
CUST00097,Champions,1,3,2946.09,5,5,5,15,0.0,0.41,0,0.0,0,0,0,new_launch,low,0
CUST00098,Mid_Tier_At_Risk,184,0,0.0,1,1,1,3,0.0,0.0,0,0.0,8,49,8,bundle_discount,high,1
CUST00099,Mid_Tier_At_Risk,144,2,1471.51,2,3,4,9,0.0,0.105,0,0.0,4,27,11,welcome_offer,high,0
CUST00100,Mid_Tier_At_Risk,70,1,372.37,3,1,1,5,0.0,0.29,0,0.0,1,29,1,bundle_discount,high,0
CUST00101,Mid_Tier_At_Risk,108,2,1240.21,2,3,4,9,0.0,0.255,0,0.0,2,27,2,free_shipping,high,1
CUST00102,Mid_Tier_At_Risk,83,1,732.65,3,1,3,7,0.0,0.16,0,0.0,2,7,3,welcome_offer,high,0
CUST00103,New_Customers,21,1,1469.96,4,1,4,9,0.0,0.08,0,0.0,6,0,11,none,low,0
CUST00104,Mid_Tier_At_Risk,93,1,955.63,2,1,3,6,0.0,0.31,0,0.0,3,27,6,bundle_discount,high,1
CUST00105,Mid_Tier_At_Risk,46,1,2052.43,4,1,5,10,0.0,0.18,0,0.0,1,3,4,new_launch,high,0
CUST00106,Mid_Tier_At_Risk,61,1,436.15,3,1,2,6,0.0,0.24,0,0.0,5,21,5,bundle_discount,medium,1
CUST00107,Mid_Tier_At_Risk,12,2,1658.13,5,3,4,12,0.0,0.125,0,0.0,2,10,2,free_shipping,low,0
CUST00108,New_Customers,44,1,1074.5,4,1,3,8,1.0,0.22,1,1.0,5,11,5,new_launch,medium,1
CUST00109,Mid_Tier_At_Risk,92,2,1622.28,2,3,4,9,0.0,0.255,0,0.0,1,16,5,free_shipping,high,0
CUST00110,High_Value_Unhappy,35,3,2424.8,4,5,5,14,0.0,0.233,2,0.5,4,8,4,new_launch,medium,1
CUST00111,Mid_Tier_At_Risk,178,1,1135.09,1,1,3,5,0.0,0.23,0,0.0,3,33,4,welcome_offer,high,1
CUST00112,Champions,0,4,2225.98,5,5,5,15,0.0,0.3,0,0.0,4,0,4,welcome_offer,low,0
CUST00113,Mid_Tier_At_Risk,28,2,1601.31,4,3,4,11,0.0,0.385,0,0.0,17,2,17,free_shipping,low,0
CUST00114,Mid_Tier_At_Risk,239,0,0.0,1,1,1,3,0.0,0.0,0,0.0,3,41,8,new_launch,high,1
CUST00115,Mid_Tier_At_Risk,159,1,596.54,1,1,2,4,0.0,0.14,0,0.0,12,23,24,welcome_offer,high,1
CUST00116,Mid_Tier_At_Risk,143,1,452.08,2,1,2,5,0.0,0.27,0,0.0,10,26,16,new_launch,high,1
CUST00117,Dormant,123,2,1268.88,2,3,4,9,0.0,0.28,0,0.0,2,27,2,bundle_discount,high,1
CUST00118,New_Customers,27,1,689.56,4,1,3,8,0.0,0.18,0,0.0,2,1,2,none,low,0
CUST00119,Mid_Tier_At_Risk,69,1,2019.98,3,1,5,9,0.0,0.25,1,0.0,12,1,12,free_shipping,medium,0
CUST00120,New_Customers,26,1,261.95,4,1,1,6,0.0,0.27,0,0.0,6,5,6,bundle_discount,low,0
CUST00121,Mid_Tier_At_Risk,27,2,2496.03,4,3,5,12,0.0,0.19,0,0.0,5,2,9,free_shipping,low,0
CUST00122,Loyal_Slipping,106,2,2048.93,2,3,5,10,0.0,0.36,0,0.0,10,30,24,none,high,1
CUST00123,Loyal_Slipping,102,4,2117.52,2,5,5,12,0.0,0.335,0,0.0,2,23,2,new_launch,high,0
CUST00124,Mid_Tier_At_Risk,194,0,0.0,1,1,1,3,0.0,0.0,0,0.0,5,43,5,new_launch,high,1
CUST00125,Mid_Tier_At_Risk,8,2,1698.4,5,3,4,12,0.0,0.395,0,0.0,0,0,6,none,low,0
CUST00126,Mid_Tier_At_Risk,57,1,919.95,3,1,3,7,0.0,0.6,0,0.0,5,3,8,new_launch,medium,1
CUST00127,Mid_Tier_At_Risk,24,2,729.55,4,3,3,10,0.0,0.295,0,0.0,3,15,3,welcome_offer,low,0
CUST00128,Mid_Tier_At_Risk,19,2,1716.68,5,3,4,12,0.0,0.42,0,0.0,15,0,15,free_shipping,low,0
CUST00129,Loyal_Slipping,83,3,3369.08,3,5,5,13,0.333,0.313,1,0.0,7,2,7,bundle_discount,high,0
CUST00130,Mid_Tier_At_Risk,88,1,1272.47,2,1,4,7,0.0,0.48,0,0.0,9,12,14,new_launch,high,0
CUST00131,Mid_Tier_At_Risk,67,1,2157.15,3,1,5,9,0.0,0.17,0,0.0,4,14,9,welcome_offer,medium,1
CUST00132,Mid_Tier_At_Risk,117,1,1621.76,2,1,4,7,0.0,0.18,0,0.0,1,24,7,welcome_offer,high,1
CUST00133,Champions,54,6,4776.26,3,5,5,13,0.0,0.365,0,0.0,5,12,11,free_shipping,medium,0
CUST00134,High_Value_Unhappy,35,2,1527.11,4,3,4,11,0.5,0.3,0,0.0,11,4,19,new_launch,low,0
CUST00135,Mid_Tier_At_Risk,333,0,0.0,1,1,1,3,0.0,0.0,0,0.0,3,60,8,new_launch,high,1
CUST00136,Mid_Tier_At_Risk,71,1,514.9,3,1,2,6,0.0,0.3,0,0.0,7,15,7,new_launch,medium,1
CUST00137,Mid_Tier_At_Risk,177,2,1035.87,1,3,3,7,0.0,0.315,0,0.0,4,31,5,none,high,1
CUST00138,Mid_Tier_At_Risk,61,1,905.11,3,1,3,7,0.0,0.46,0,0.0,5,24,9,bundle_discount,medium,0
CUST00139,High_Value_Unhappy,28,2,1715.4,4,3,4,11,0.0,0.295,2,1.0,5,10,5,none,medium,0
CUST00140,Mid_Tier_At_Risk,6,3,3416.05,5,5,5,15,0.0,0.247,1,0.0,14,12,15,new_launch,medium,0
CUST00141,Mid_Tier_At_Risk,28,1,647.85,4,1,2,7,0.0,0.23,0,0.0,4,0,10,none,low,0
CUST00142,Dormant,169,1,369.26,1,1,1,3,0.0,0.37,0,0.0,2,41,2,new_launch,high,1
CUST00143,Champions,32,3,4028.8,4,5,5,14,0.0,0.14,0,0.0,5,9,8,free_shipping,low,0
CUST00144,Mid_Tier_At_Risk,86,2,928.58,2,3,3,8,0.0,0.295,1,1.0,8,17,16,free_shipping,high,0
CUST00145,New_Customers,30,1,502.35,4,1,2,7,0.0,0.11,0,0.0,0,0,0,none,high,1
CUST00146,Mid_Tier_At_Risk,108,1,986.21,2,1,3,6,0.0,0.31,0,0.0,4,30,10,free_shipping,high,0
CUST00147,Champions,84,3,2809.32,3,5,5,13,0.0,0.183,0,0.0,1,29,1,new_launch,high,0
CUST00148,Champions,4,3,1990.51,5,5,5,15,0.0,0.25,0,0.0,5,8,8,bundle_discount,low,0
CUST00149,New_Customers,8,1,787.94,5,1,3,9,0.0,0.2,0,0.0,8,0,10,bundle_discount,low,0
CUST00150,Mid_Tier_At_Risk,45,2,1008.65,4,3,3,10,0.0,0.375,0,0.0,6,7,13,welcome_offer,medium,0
CUST00151,Champions,62,3,2844.17,3,5,5,13,0.0,0.173,0,0.0,7,4,12,none,medium,0
CUST00152,High_Value_Unhappy,46,3,2730.26,4,5,5,14,0.0,0.367,3,1.0,19,7,29,bundle_discount,medium,0
CUST00153,New_Customers,3,1,977.12,5,1,3,9,0.0,0.37,0,0.0,6,0,6,welcome_offer,low,0
CUST00154,Champions,10,4,3935.38,5,5,5,15,0.0,0.24,0,0.0,8,2,9,new_launch,low,0
CUST00155,Champions,2,3,2024.8,5,5,5,15,0.0,0.397,0,0.0,6,11,6,none,low,0
CUST00156,High_Value_Unhappy,34,2,4241.75,4,3,5,12,0.5,0.145,1,0.0,14,0,24,welcome_offer,medium,0
CUST00157,Mid_Tier_At_Risk,0,1,376.83,5,1,2,8,0.0,0.22,0,0.0,3,5,6,welcome_offer,low,1
CUST00158,Mid_Tier_At_Risk,155,1,812.34,1,1,3,5,0.0,0.25,0,0.0,8,32,15,free_shipping,high,1
CUST00159,Dormant,474,0,0.0,1,1,1,3,0.0,0.0,0,0.0,0,60,1,free_shipping,high,1
CUST00160,Mid_Tier_At_Risk,177,1,433.18,1,1,2,4,0.0,0.23,0,0.0,4,37,7,welcome_offer,high,1
CUST00161,Champions,20,3,1738.05,5,5,4,14,0.0,0.293,0,0.0,7,0,12,welcome_offer,low,0
CUST00162,Mid_Tier_At_Risk,91,2,1194.59,2,3,4,9,0.0,0.29,0,0.0,2,28,2,none,high,1
CUST00163,Mid_Tier_At_Risk,70,1,275.41,3,1,1,5,0.0,0.37,0,0.0,3,19,10,free_shipping,medium,0
CUST00164,Dormant,222,0,0.0,1,1,1,3,0.0,0.0,0,0.0,1,57,1,free_shipping,high,1
CUST00165,Loyal_Slipping,103,3,1825.77,2,5,4,11,0.0,0.31,0,0.0,2,15,2,welcome_offer,high,0
CUST00166,Mid_Tier_At_Risk,15,1,1269.41,5,1,4,10,0.0,0.37,1,0.0,1,7,1,new_launch,high,0
CUST00167,Mid_Tier_At_Risk,219,0,0.0,1,1,1,3,0.0,0.0,0,0.0,0,31,3,bundle_discount,high,1
CUST00168,Loyal_Slipping,85,2,2194.93,3,3,5,11,0.0,0.01,0,0.0,2,29,3,bundle_discount,high,0
CUST00169,Dormant,222,0,0.0,1,1,1,3,0.0,0.0,0,0.0,1,45,1,new_launch,high,1
CUST00170,Mid_Tier_At_Risk,9,2,1708.22,5,3,4,12,0.0,0.22,0,0.0,5,0,5,new_launch,low,0
CUST00171,New_Customers,12,1,1077.78,5,1,3,9,0.0,0.38,0,0.0,9,3,10,none,low,0
CUST00172,Mid_Tier_At_Risk,8,1,1366.0,5,1,4,10,0.0,0.39,1,0.0,5,0,12,new_launch,medium,0
CUST00173,Mid_Tier_At_Risk,79,1,225.12,3,1,1,5,0.0,0.27,0,0.0,10,2,10,bundle_discount,high,0
CUST00174,Mid_Tier_At_Risk,86,1,168.97,2,1,1,4,0.0,0.42,0,0.0,14,24,14,free_shipping,high,0
CUST00175,Mid_Tier_At_Risk,59,2,1378.77,3,3,4,10,0.0,0.21,0,0.0,5,14,7,free_shipping,medium,1
CUST00176,Champions,37,3,3830.31,4,5,5,14,0.0,0.343,0,0.0,12,17,12,bundle_discount,medium,0
CUST00177,Mid_Tier_At_Risk,82,1,255.04,3,1,1,5,0.0,0.42,0,0.0,12,28,12,free_shipping,high,0
CUST00178,High_Value_Unhappy,5,2,1583.88,5,3,4,12,1.0,0.165,2,1.0,10,0,12,none,medium,0
CUST00179,High_Value_Unhappy,38,3,1585.62,4,5,4,13,0.0,0.443,2,0.5,11,21,18,free_shipping,medium,0
CUST00180,High_Value_Unhappy,96,2,1570.85,2,3,4,9,0.5,0.26,0,0.0,9,18,9,welcome_offer,high,1
CUST00181,New_Customers,6,1,1107.73,5,1,3,9,0.0,0.0,0,0.0,7,0,12,free_shipping,low,0
CUST00182,New_Customers,31,1,305.3,4,1,1,6,0.0,0.31,0,0.0,12,0,16,none,low,0
CUST00183,Mid_Tier_At_Risk,152,1,1689.98,1,1,4,6,0.0,0.18,0,0.0,1,26,6,free_shipping,high,1
CUST00184,Champions,14,3,2456.91,5,5,5,15,0.0,0.287,0,0.0,6,6,6,none,low,1
CUST00185,Mid_Tier_At_Risk,114,2,866.52,2,3,3,8,0.0,0.315,0,0.0,11,27,20,new_launch,high,0
CUST00186,New_Customers,41,1,714.65,4,1,3,8,0.0,0.33,1,0.0,2,5,2,none,medium,0
CUST00187,Mid_Tier_At_Risk,149,1,491.11,1,1,2,4,0.0,0.5,0,0.0,0,17,4,none,high,0
CUST00188,High_Value_Unhappy,29,2,1880.31,4,3,4,11,0.0,0.23,1,1.0,11,5,12,bundle_discount,medium,1
CUST00189,Mid_Tier_At_Risk,140,1,574.39,2,1,2,5,0.0,0.32,0,0.0,10,27,14,new_launch,high,0
CUST00190,New_Customers,6,1,482.88,5,1,2,8,0.0,0.13,1,1.0,6,5,6,free_shipping,medium,0
CUST00191,New_Customers,28,1,149.0,4,1,1,6,0.0,0.34,0,0.0,6,11,8,welcome_offer,low,0
CUST00192,Champions,55,3,2263.95,3,5,5,13,0.0,0.28,0,0.0,8,30,13,none,medium,0
CUST00193,Mid_Tier_At_Risk,157,1,424.74,1,1,2,4,0.0,0.21,0,0.0,3,30,9,free_shipping,high,1
CUST00194,Loyal_Slipping,80,3,2967.67,3,5,5,13,0.333,0.407,1,0.0,13,3,25,none,high,0
CUST00195,New_Customers,23,1,654.27,4,1,2,7,0.0,0.17,1,1.0,5,0,5,new_launch,medium,0
CUST00196,High_Value_Unhappy,24,2,1272.38,4,3,4,11,0.0,0.28,1,1.0,1,12,1,free_shipping,medium,1
CUST00197,High_Value_Unhappy,15,2,2989.16,5,3,5,13,0.0,0.305,1,1.0,11,10,11,bundle_discount,medium,0
CUST00198,Champions,37,4,4324.83,4,5,5,14,0.0,0.273,0,0.0,1,6,5,new_launch,medium,0
CUST00199,High_Value_Unhappy,6,4,3273.56,5,5,5,15,0.0,0.227,1,1.0,3,0,3,welcome_offer,medium,0
CUST00200,Champions,15,3,3726.66,5,5,5,15,0.0,0.123,0,0.0,7,2,20,none,low,0
CUST00201,Mid_Tier_At_Risk,93,1,598.21,2,1,2,5,0.0,0.14,1,0.0,3,12,4,none,high,1
CUST00202,Mid_Tier_At_Risk,141,1,1220.26,2,1,4,7,0.0,0.33,0,0.0,9,40,12,bundle_discount,high,0
CUST00203,Mid_Tier_At_Risk,114,2,743.35,2,3,3,8,0.0,0.39,0,0.0,6,28,8,welcome_offer,high,1
CUST00204,Mid_Tier_At_Risk,42,1,519.21,4,1,2,7,0.0,0.28,0,0.0,17,4,17,welcome_offer,medium,0
CUST00205,Champions,30,3,1548.05,4,5,4,13,0.0,0.25,0,0.0,13,0,18,none,low,0
CUST00206,Mid_Tier_At_Risk,118,2,831.29,2,3,3,8,0.0,0.375,0,0.0,7,38,15,bundle_discount,high,1
CUST00207,New_Customers,18,1,193.1,5,1,1,7,0.0,0.62,0,0.0,11,7,19,none,low,1
CUST00208,Loyal_Slipping,91,4,3282.3,2,5,5,12,0.0,0.18,1,1.0,2,24,6,free_shipping,high,1
CUST00209,Mid_Tier_At_Risk,279,0,0.0,1,1,1,3,0.0,0.0,0,0.0,3,46,3,bundle_discount,high,1
CUST00210,Mid_Tier_At_Risk,128,1,409.67,2,1,2,5,0.0,0.41,0,0.0,3,38,3,none,high,1
CUST00211,Loyal_Slipping,90,2,3032.55,2,3,5,10,0.0,0.38,0,0.0,4,9,5,bundle_discount,high,0
CUST00212,Mid_Tier_At_Risk,204,0,0.0,1,1,1,3,0.0,0.0,0,0.0,3,45,6,new_launch,high,1
CUST00213,High_Value_Unhappy,86,1,1266.34,2,1,4,7,1.0,0.09,1,1.0,2,15,2,bundle_discount,high,1
CUST00214,Mid_Tier_At_Risk,64,1,1427.16,3,1,4,8,0.0,0.22,0,0.0,3,14,6,free_shipping,medium,1
CUST00215,Mid_Tier_At_Risk,34,1,646.51,4,1,2,7,0.0,0.01,0,0.0,8,15,18,none,low,1
CUST00216,High_Value_Unhappy,48,1,1349.42,3,1,4,8,1.0,0.27,1,1.0,7,16,8,free_shipping,medium,1
CUST00217,Mid_Tier_At_Risk,79,2,861.18,3,3,3,9,0.0,0.36,0,0.0,2,13,2,bundle_discount,high,1
CUST00218,Mid_Tier_At_Risk,23,1,713.95,4,1,3,8,0.0,0.11,0,0.0,1,5,1,none,high,0
